Course,Location,URL_Name,URL
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Assessment as Learning\Opportunities for Learning and Practice:Assessment as Learning\Resources,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1645391895?pq-origsite=summon&accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1645391895?pq-origsite=summon&amp;accountid=10249
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Assessment as Learning\Opportunities for Learning and Practice:Assessment as Learning\Resources,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1755024871?pq-origsite=summon&accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1755024871?pq-origsite=summon&amp;accountid=10249
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Authentic Assessment\Opportunities for Learning and Practice: Authentic Assessment\Resources,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1683512038?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1683512038?accountid=10249
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Learner Feedback and Coaching in EDT\Opportunities for Learning and Practice\Resources,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/217788462?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/217788462?accountid=10249
EDT-801_C_07-19-2016: EDT-801 C D Digital Age Assessment 201710,Learner Feedback and Coaching in EDT\Opportunities for Learning and Practice\Resources,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/230698642?accountid=10249,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/230698642?accountid=10249
EDT-970_CBE_201630_v5_2-3-2016: EDT-970 CBE *P Integrating Technology in the Learning Experience 201630 (2-3-2016) v.5,21st Century Learning Models and Frameworks\Opportunities for Learning & Practice: 21st Century Learning Models and Frameworks\Resources,https://search-proquest-com.cuw.ezproxy.switchinc.org/docview/1355647534?pq-origsite=summon,http://search.proquest.com.cuw.ezproxy.switchinc.org/docview/1355647534?pq-origsite=summon
